"IntID","LegID","LegType","LegRtType","LegSpeed","LegWidth","NumLanes","MergeLanes","PaveType","MedType","MedWidth","LegTCType","LTLanes","LTWidth","LTLnLength","LTOffset","RTLanes","RTWidth","RTLnLength","RTChannel","RTMoveCtrl","PedCross","Rumble","OneWay","TurnProhib","SightLt","SightRt","IntCat","AreaType","NumberLegs","IntTCType","Lighting","Terrain","Offset","OffsetDist","SkewAngle","NextPIDist","AADT","IntAADT","X5YrCrashCount","X1YrCrashCount","TotalAADT","TotalT5YearInM","Traffic","Lat","Long","County","City"
"130489","130489_3","2","5",25,28,2,"0","1","1",0,"2",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","7","2",3,"1","2","2","2",0,13,1275,11020,11020,2,0.4,11046,20.1115,20.1115,33.16211,-87.54336,"Tuscaloosa","Tuscaloosa"
"130489","130489_1","1","1",45,73,4,"0","1","3",26,"1",1,12,112,0,0,0,0,"1","1","1","2","2","1","2","3","7","2",3,"1","2","2","2",0,13,1275,13,11020,4,0.8,11046,0.023725,20.1115,33.16211,-87.54336,"Tuscaloosa","Tuscaloosa"
"133031","133031_4","2","5",25,22,2,"0","1","1",0,"2",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","8","2",4,"2","1","2","2",0,12,780,17340,17340,10,2,34868,31.6455,31.6455,33.16426,-87.52581,"Tuscaloosa","Tuscaloosa"
"133031","133031_2","1","1",50,88,4,"0","1","2",26,"1",1,12,109,-28,0,0,0,"1","1","1","2","2","1","2","2","8","2",4,"2","1","2","2",0,12,780,94,17340,3,0.6,34868,0.17155,31.6455,33.16426,-87.52581,"Tuscaloosa","Tuscaloosa"
"133031","133031_3","2","5",25,23,2,"0","1","1",0,"2",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","8","2",4,"2","1","2","2",0,12,780,17340,17340,9,1.8,34868,31.6455,31.6455,33.16426,-87.52581,"Tuscaloosa","Tuscaloosa"
"133031","133031_1","1","1",50,88,4,"0","1","2",26,"1",1,12,162,-28,1,12,175,"1","1","1","2","2","1","2","2","8","2",4,"2","1","2","2",0,12,780,94,17340,5,1,34868,0.17155,31.6455,33.16426,-87.52581,"Tuscaloosa","Tuscaloosa"
"134193","134193_2","1","1",55,124,5,"0","1","2",70,"1",0,0,0,0,0,0,0,"1","1","1","2","2","1","3","2","7","2",3,"1","2","2","2",0,9,386,81,16050,2,0.4,16212,0.147825,29.29125,33.14898,-87.5238,"Tuscaloosa","Tuscaloosa"
"134193","134193_1","1","1",55,106,5,"0","1","2",40,"1",1,15,138,0,0,0,0,"1","1","1","2","2","1","1","3","7","2",3,"1","2","2","2",0,9,386,81,16050,3,0.6,16212,0.147825,29.29125,33.14898,-87.5238,"Tuscaloosa","Tuscaloosa"
"134193","134193_3","2","5",25,24,2,"0","1","1",0,"2",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","7","2",3,"1","2","2","2",0,9,386,16050,16050,3,0.6,16212,29.29125,29.29125,33.14898,-87.5238,"Tuscaloosa","Tuscaloosa"
"140617","140617_3","2","5",25,26,2,"0","1","1",0,"2",0,0,0,0,0,0,0,"1","1","1","2","2","1","2","2","5","2",3,"1","1","2","2",0,4,246,14830,14830,0,0,14962,27.06475,27.06475,33.1983,-87.47591,"Tuscaloosa","Tuscaloosa"
"140617","140617_2","1","1",50,30,2,"0","1","3",6,"1",0,0,0,0,0,0,0,"1","1","1","2","2","1","1","3","5","2",3,"1","1","2","2",0,4,246,66,14830,2,0.4,14962,0.12045,27.06475,33.1983,-87.47591,"Tuscaloosa","Tuscaloosa"
